gpu,1080p Ultra,1080p Medium,1440p Ultra,4K Ultra,Specifications (Links to Review)
GeForce RTX 4090,100.0% (154.1fps),100.0% (195.7fps),100.0% (146.1fps),100.0% (114.5fps),https://www.tomshardware.com/reviews/nvidia-geforce-rtx-4090-review
Radeon RX 7900 XTX,96.7% (149.0fps),97.2% (190.3fps),92.6% (135.3fps),83.1% (95.1fps),https://www.tomshardware.com/reviews/amd-radeon-rx-7900-xtx-and-xt-review-shooting-for-the-top
GeForce RTX 4080 Super,96.2% (148.3fps),98.5% (192.7fps),91.0% (133.0fps),80.3% (91.9fps),https://www.tomshardware.com/pc-components/gpus/nvidia-geforce-rtx-4080-super-review
GeForce RTX 4080,95.4% (147.0fps),98.1% (192.0fps),89.3% (130.4fps),78.0% (89.3fps),https://www.tomshardware.com/reviews/nvidia-geforce-rtx-4080-review
Radeon RX 7900 XT,93.4% (143.9fps),95.8% (187.6fps),86.1% (125.9fps),71.0% (81.2fps),https://www.tomshardware.com/reviews/amd-radeon-rx-7900-xtx-and-xt-review-shooting-for-the-top
GeForce RTX 4070 Ti Super,92.3% (142.3fps),96.8% (189.4fps),83.5% (122.0fps),68.7% (78.6fps),https://www.tomshardware.com/pc-components/gpus/nvidia-geforce-rtx-4070-ti-super-review
GeForce RTX 4070 Ti,89.8% (138.3fps),95.7% (187.2fps),79.8% (116.5fps),63.8% (73.0fps),https://www.tomshardware.com/reviews/nvidia-geforce-rtx-4070-ti-review-a-costly-70-class-gpu
Radeon RX 7900 GRE,88.1% (135.8fps),94.1% (184.3fps),78.0% (113.9fps),60.5% (69.3fps),https://www.tomshardware.com/pc-components/gpus/amd-radeon-rx-7900-gre-review
GeForce RTX 4070 Super,87.1% (134.2fps),94.6% (185.1fps),75.2% (109.8fps),57.8% (66.1fps),https://www.tomshardware.com/pc-components/gpus/nvidia-geforce-rtx-4070-super-review-boosted-clocks-and-core-counts-for-the-same-dollar599-as-the-vanilla-4070
Radeon RX 6950 XT,84.7% (130.5fps),91.7% (179.4fps),75.3% (110.1fps),58.6% (67.1fps),https://www.tomshardware.com/reviews/amd-radeon-rx-6950-xt-review
GeForce RTX 3090 Ti,84.7% (130.5fps),90.5% (177.1fps),77.1% (112.7fps),66.3% (75.9fps),https://www.tomshardware.com/reviews/asus-geforce-rtx-3090-ti-review
Radeon RX 7800 XT,83.9% (129.3fps),91.5% (179.1fps),72.4% (105.8fps),54.4% (62.3fps),https://www.tomshardware.com/reviews/amd-radeon-rx-7800-xt-review
GeForce RTX 3090,81.4% (125.5fps),88.9% (174.0fps),72.5% (106.0fps),61.8% (70.7fps),https://www.tomshardware.com/reviews/nvidia-geforce-rtx-3090-review
Radeon RX 6900 XT,80.9% (124.6fps),89.6% (175.3fps),69.9% (102.1fps),53.5% (61.2fps),https://www.tomshardware.com/reviews/amd-radeon-rx-6900-xt-review
