name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency
Corsair Vengeance LPX 16 GB,3999.0,"[4, 3200]","[2, 8]",2.499,Black / Yellow,10.0,16.0
Corsair Vengeance RGB Pro 32 GB,10498.0,"[4, 3600]","[2, 16]",3.281,Black,10.0,18.0
Corsair Vengeance 32 GB,9299.0,"[5, 5600]","[2, 16]",2.906,Black,12.857,36.0
Corsair Vengeance LPX 32 GB,6798.0,"[4, 3600]","[2, 16]",2.124,Black / Yellow,10.0,18.0
G.Skill Trident Z5 RGB 32 GB,10499.0,"[5, 6000]","[2, 16]",3.281,Black,12.0,36.0
Corsair Vengeance RGB Pro 16 GB,5699.0,"[4, 3200]","[2, 8]",3.562,Black,10.0,16.0
G.Skill Trident Z5 RGB 64 GB,22999.0,"[5, 6400]","[2, 32]",3.594,Black / Silver,10.0,32.0
Silicon Power GAMING 16 GB,2997.0,"[4, 3200]","[2, 8]",1.873,Black / Gray,10.0,16.0
Corsair Vengeance 32 GB,9799.0,"[5, 6000]","[2, 16]",3.062,Black,12.0,36.0
G.Skill Ripjaws V 32 GB,6399.0,"[4, 3200]","[2, 16]",2.0,Black,10.0,16.0
Corsair Vengeance LPX 16 GB,4199.0,"[4, 3600]","[2, 8]",2.624,Black,10.0,18.0
Corsair Vengeance RGB Pro SL 32 GB,7798.999999999999,"[4, 3600]","[2, 16]",2.437,White / Black,10.0,18.0
Corsair Vengeance RGB 32 GB,10299.0,"[5, 6000]","[2, 16]",3.218,White,12.0,36.0
G.Skill Trident Z5 RGB 32 GB,11999.0,"[5, 6400]","[2, 16]",3.75,Black,10.0,32.0
G.Skill Flare X5 32 GB,9499.0,"[5, 6000]","[2, 16]",2.968,Black,12.0,36.0
G.Skill Ripjaws S5 32 GB,9799.0,"[5, 6000]","[2, 16]",3.062,Black,10.0,30.0
Corsair Vengeance LPX 32 GB,6299.0,"[4, 3200]","[2, 16]",1.968,Black / Yellow,10.0,16.0
Silicon Power GAMING 32 GB,4897.0,"[4, 3200]","[2, 16]",1.53,Black,10.0,16.0
TEAMGROUP T-Force Vulcan Z 16 GB,3399.0,"[4, 3200]","[2, 8]",2.124,Black,10.0,16.0
G.Skill Ripjaws V 16 GB,4899.0,"[4, 3600]","[2, 8]",3.062,Black,8.889,16.0
Corsair Vengeance RGB Pro 16 GB,6498.0,"[4, 3200]","[2, 8]",4.061,White,10.0,16.0
Corsair Vengeance RGB 32 GB,9799.0,"[5, 5200]","[2, 16]",3.062,Black,15.385,40.0
G.Skill Trident Z5 Neo RGB 32 GB,11699.0,"[5, 6000]","[2, 16]",3.656,Black,10.0,30.0
G.Skill Ripjaws V 64 GB,193768.0,"[4, 3200]","[4, 16]",30.276,Black,8.75,14.0
Corsair Vengeance 64 GB,25999.0,"[5, 6600]","[2, 32]",4.062,Black / Gray,9.697,32.0
Kingston FURY Beast 16 GB,4775.0,"[4, 3200]","[2, 8]",2.984,Black,10.0,16.0
G.Skill Trident Z RGB 32 GB,8199.0,"[4, 3200]","[2, 16]",2.562,Black,10.0,16.0
G.Skill Trident Z RGB 16 GB,5999.0,"[4, 3600]","[2, 8]",3.749,Black,10.0,18.0
Corsair Vengeance 64 GB,16499.0,"[5, 5200]","[2, 32]",2.578,Black,15.385,40.0
G.Skill Ripjaws V 32 GB,8699.0,"[4, 3600]","[2, 16]",2.718,Black,8.889,16.0
Corsair Vengeance RGB 32 GB,10299.0,"[5, 6000]","[2, 16]",3.218,Black,13.333,40.0
G.Skill Trident Z5 Neo 64 GB,22499.0,"[5, 6000]","[2, 32]",3.515,Black / Silver,10.0,30.0
TEAMGROUP T-Force Vulcan Z 32 GB,5799.0,"[4, 3600]","[2, 16]",1.812,Black,10.0,18.0
TEAMGROUP T-Force Delta RGB 16 GB,4699.0,"[4, 3600]","[2, 8]",2.937,Black,10.0,18.0
Corsair Dominator Platinum RGB 32 GB,16999.0,"[5, 6200]","[2, 16]",5.312,White,11.613,36.0
Corsair Vengeance LPX 64 GB,12799.0,"[4, 3200]","[2, 32]",2.0,Black / Yellow,10.0,16.0
G.Skill Ripjaws S5 32 GB,9999.0,"[5, 5600]","[2, 16]",3.125,Black,10.0,28.0
TEAMGROUP T-Force Delta RGB 32 GB,6598.0,"[4, 3600]","[2, 16]",2.062,Black,10.0,18.0
TEAMGROUP T-Force Vulcan 32 GB,7998.0,"[5, 5600]","[2, 16]",2.499,Black,11.429,32.0
Kingston FURY Beast 16 GB,6998.0,"[5, 5200]","[2, 8]",4.374,Black,15.385,40.0
G.Skill Ripjaws V 16 GB,3899.0,"[4, 3200]","[2, 8]",2.437,Black,10.0,16.0
Kingston FURY 128 GB,55171.0,"[5, 5600]","[4, 32]",4.31,White,14.286,40.0
TEAMGROUP T-Force Delta RGB 16 GB,4699.0,"[4, 3600]","[2, 8]",2.937,White,10.0,18.0
G.Skill Trident Z5 RGB 32 GB,14799.0,"[5, 7200]","[2, 16]",4.625,Black,9.444,34.0
TEAMGROUP T-Force Delta RGB 32 GB,6598.0,"[4, 3600]","[2, 16]",2.062,White,10.0,18.0
TEAMGROUP T-Force Delta RGB 32 GB,9999.0,"[5, 6000]","[2, 16]",3.125,White,10.0,30.0
Corsair Vengeance RGB Pro 32 GB,7998.0,"[4, 3200]","[2, 16]",2.499,Black,10.0,16.0
Silicon Power XPOWER Turbine 16 GB,2997.0,"[4, 3200]","[2, 8]",1.873,Blue,10.0,16.0
G.Skill Trident Z5 Neo 32 GB,11999.0,"[5, 6000]","[2, 16]",3.75,Black,10.0,30.0
Kingston FURY Renegade 32 GB,9715.0,"[4, 3600]","[2, 16]",3.036,Black,8.889,16.0
G.Skill Flare X5 32 GB,9999.0,"[5, 6000]","[2, 16]",3.125,Black,10.0,30.0
Silicon Power SP016GBLFU320B22 16 GB,2597.0,"[4, 3200]","[2, 8]",1.623,,13.75,22.0
G.Skill Trident Z5 Neo RGB 64 GB,21999.0,"[5, 6000]","[2, 32]",3.437,Black / Silver,10.0,30.0
TEAMGROUP Vulcan Z 16 GB,3699.0,"[4, 3600]","[2, 8]",2.312,Black,10.0,18.0
G.Skill Ripjaws S5 32 GB,9999.0,"[5, 6400]","[2, 16]",3.125,Black,10.0,32.0
Corsair Dominator Platinum RGB 64 GB,37999.0,"[5, 6600]","[4, 16]",5.937,Black,9.697,32.0
Corsair Vengeance RGB 64 GB,19999.0,"[5, 6000]","[2, 32]",3.125,Black,13.333,40.0
TEAMGROUP T-Force Delta RGB 32 GB,8499.0,"[5, 6000]","[2, 16]",2.656,White,12.667,38.0
G.Skill Trident Z5 RGB 64 GB,28999.0,"[5, 6800]","[2, 32]",4.531,Black,10.0,34.0
Corsair Vengeance RGB RT 256 GB,137999.0,"[4, 3600]","[8, 32]",5.391,Black,10.0,18.0
TEAMGROUP T-Create Expert 32 GB,4899.0,"[4, 3200]","[2, 16]",1.531,Gray,10.0,16.0
G.Skill Trident Z Neo 32 GB,10999.0,"[4, 3600]","[2, 16]",3.437,Black / Silver,8.889,16.0
Kingston FURY Beast 16 GB,7198.0,"[5, 6000]","[2, 8]",4.499,Black,13.333,40.0
Corsair Vengeance RGB Pro 16 GB,5999.0,"[4, 3600]","[2, 8]",3.749,Black,10.0,18.0
Corsair Vengeance RGB 32 GB,9999.0,"[5, 5600]","[2, 16]",3.125,Black / Gray,12.857,36.0
G.Skill Ripjaws V 32 GB,5999.0,"[4, 3600]","[2, 16]",1.875,Black,10.0,18.0
Corsair Vengeance LPX 16 GB,3999.0,"[4, 3200]","[2, 8]",2.499,Black,10.0,16.0
Corsair Vengeance RGB 32 GB,11499.0,"[5, 5200]","[2, 16]",3.593,White,15.385,40.0
G.Skill Trident Z RGB 64 GB,14999.0,"[4, 3600]","[2, 32]",2.344,Black,10.0,18.0
G.Skill Flare X5 32 GB,10499.0,"[5, 6000]","[2, 16]",3.281,Black,10.667,32.0
Kingston FURY Beast RGB 32 GB,14399.0,"[5, 6000]","[2, 16]",4.5,Black,12.0,36.0
Corsair Vengeance 64 GB,16699.0,"[5, 5600]","[2, 32]",2.609,Black,14.286,40.0
Kingston FURY Beast 32 GB,7498.0,"[4, 3200]","[2, 16]",2.343,Black,10.0,16.0
G.Skill Ripjaws S5 32 GB,9499.0,"[5, 6000]","[2, 16]",2.968,Black,12.0,36.0
Corsair Vengeance RGB Pro 32 GB,9999.0,"[4, 3200]","[2, 16]",3.125,White,10.0,16.0
G.Skill Aegis 16 GB,3799.0,"[4, 3200]","[2, 8]",2.374,Red / Black,10.0,16.0
G.Skill Trident Z5 RGB 48 GB,31999.0,"[5, 8000]","[2, 24]",6.666,Black,10.0,40.0
Corsair Vengeance LPX 8 GB,2499.0,"[4, 2400]","[1, 8]",3.124,Black / Yellow,13.333,16.0
Corsair Vengeance 64 GB,21799.0,"[5, 6400]","[2, 32]",3.406,Black / Gray,10.0,32.0
Corsair Vengeance 32 GB,10599.0,"[5, 6000]","[2, 16]",3.312,Black / Gray,10.0,30.0
Corsair Dominator Platinum RGB 64 GB,26499.0,"[5, 6000]","[2, 32]",4.14,Black,13.333,40.0
G.Skill Ripjaws V 32 GB,7498.0,"[4, 4000]","[2, 16]",2.343,Black,9.0,18.0
Corsair Vengeance 32 GB,12499.0,"[5, 6400]","[2, 16]",3.906,Black,10.0,32.0
Corsair Vengeance 32 GB,16999.0,"[5, 7200]","[2, 16]",5.312,Gray,9.444,34.0
Corsair Vengeance LPX 256 GB,69499.0,"[4, 3600]","[8, 32]",2.715,Black / Yellow,10.0,18.0
Kingston FURY Beast 32 GB,12999.0,"[5, 6000]","[2, 16]",4.062,Black,12.0,36.0
Corsair Dominator Platinum RGB 32 GB,13999.0,"[5, 6200]","[2, 16]",4.375,Black,11.613,36.0
Corsair Vengeance 16 GB,6998.999999999999,"[5, 5200]","[2, 8]",4.374,Black,15.385,40.0
TEAMGROUP T-Force Delta RGB 32 GB,9999.0,"[5, 6000]","[2, 16]",3.125,Black,10.0,30.0
Corsair Vengeance RGB Pro 32 GB,11499.0,"[4, 3200]","[4, 8]",3.593,Black,10.0,16.0
Corsair Vengeance 32 GB,8999.0,"[5, 5200]","[2, 16]",2.812,Black,15.385,40.0
G.Skill Ripjaws S5 32 GB,10899.0,"[5, 6000]","[2, 16]",3.406,White,10.0,30.0
TEAMGROUP T-Force Delta RGB 32 GB,8499.0,"[5, 6000]","[2, 16]",2.656,Black,12.667,38.0
Kingston FURY Beast RGB 16 GB,5300.0,"[4, 3200]","[2, 8]",3.312,Black,10.0,16.0
Crucial CT2K8G48C40U5 16 GB,3999.0,"[5, 4800]","[2, 8]",2.499,Black,16.667,40.0
Kingston FURY Beast 8 GB,2599.0,"[4, 3200]","[1, 8]",3.249,Black,10.0,16.0
G.Skill Aegis 32 GB,5799.0,"[4, 3200]","[2, 16]",1.812,Red / Black,10.0,16.0
Corsair Vengeance RGB 32 GB,10299.0,"[5, 6000]","[2, 16]",3.218,Black,12.0,36.0
Corsair Vengeance RGB 32 GB,12999.0,"[5, 6400]","[2, 16]",4.062,Black / Gray,10.0,32.0
G.Skill Ripjaws S5 64 GB,21999.0,"[5, 6000]","[2, 32]",3.437,Black,10.0,30.0
G.Skill Trident Z5 RGB 32 GB,23699.0,"[5, 7800]","[2, 16]",7.406,Black,9.231,36.0
Kingston ValueRAM 1 GB,911.0,"[2, 667]","[1, 1]",9.11,Green,14.993,5.0
Kingston FURY Beast RGB 16 GB,9098.0,"[5, 6000]","[2, 8]",5.686,Black,13.333,40.0
TEAMGROUP T-Force Vulcan Z 32 GB,5499.0,"[4, 3200]","[2, 16]",1.718,Gray,10.0,16.0
Kingston HyperX Fury 16 GB,,"[4, 3200]","[2, 8]",,Black / Silver,10.0,16.0
Corsair Vengeance 16 GB,7998.0,"[3, 1600]","[2, 8]",4.999,Black / Yellow,11.25,9.0
G.Skill Ripjaws S5 64 GB,19299.0,"[5, 5600]","[2, 32]",3.015,Black,10.0,28.0
TEAMGROUP T-Create Expert 32 GB,7798.999999999999,"[5, 6000]","[2, 16]",2.437,Black,12.667,38.0
Corsair Vengeance 32 GB,9899.0,"[5, 6000]","[2, 16]",3.093,Gray,12.0,36.0
Corsair Vengeance RGB 32 GB,9999.0,"[5, 6000]","[2, 16]",3.125,Black,12.0,36.0
Corsair Dominator Platinum RGB 64 GB,24499.0,"[5, 5600]","[2, 32]",3.828,White,14.286,40.0
TEAMGROUP T-Create Expert 64 GB,16999.0,"[5, 6000]","[2, 32]",2.656,Black,11.333,34.0
Corsair Vengeance RGB 32 GB,12799.0,"[5, 6000]","[2, 16]",4.0,Gray,10.0,30.0
Patriot Viper 4 Blackout 64 GB,10999.0,"[4, 3600]","[2, 32]",1.719,Black,10.0,18.0
Corsair Dominator Platinum RGB 64 GB,33499.0,"[5, 6800]","[2, 32]",5.234,Black,11.765,40.0
Silicon Power XPOWER Turbine 32 GB,4897.0,"[4, 3200]","[2, 16]",1.53,Blue,10.0,16.0
TEAMGROUP T-Create Expert 32 GB,5799.0,"[4, 3600]","[2, 16]",1.812,Gray,10.0,18.0
G.Skill Trident Z Royal 32 GB,9999.0,"[4, 3600]","[2, 16]",3.125,Silver,10.556,19.0
TEAMGROUP T-Create Classic 32 GB,7298.0,"[5, 5600]","[2, 16]",2.281,Black,16.429,46.0
TEAMGROUP T-Create Classic 16 GB,2999.0,"[4, 3200]","[2, 8]",1.874,Silver,13.75,22.0
Crucial CT8G4DFRA32A 8 GB,1798.0,"[4, 3200]","[1, 8]",2.248,Green,13.75,22.0
G.Skill Ripjaws V 64 GB,11799.0,"[4, 3600]","[2, 32]",1.844,Black,10.0,18.0
TEAMGROUP T-Force Delta RGB 32 GB,8699.0,"[5, 5600]","[2, 16]",2.718,White,11.429,32.0
ADATA XPG SPECTRIX D50 16 GB,4999.0,"[4, 3200]","[2, 8]",3.124,White,10.0,16.0
TEAMGROUP T-Force Vulcan 32 GB,7998.0,"[5, 5600]","[2, 16]",2.499,Black,12.857,36.0
TEAMGROUP T-Force Delta RGB 16 GB,4499.0,"[4, 3200]","[2, 8]",2.812,White,10.0,16.0
G.Skill Trident Z5 RGB 32 GB,113048.0,"[5, 5600]","[2, 16]",35.328,White / Black,12.857,36.0
TEAMGROUP T-Force Delta RGB 16 GB,4499.0,"[4, 3200]","[2, 8]",2.812,Black,10.0,16.0
Crucial CT2K8G4DFRA32A 16 GB,2999.0,"[4, 3200]","[2, 8]",1.874,Green,13.75,22.0
Gigabyte AORUS 32 GB,8499.0,"[5, 5200]","[2, 16]",2.656,Black,15.385,40.0
TEAMGROUP Elite 32 GB,4849.0,"[4, 3200]","[2, 16]",1.515,Black,13.75,22.0
G.Skill Trident Z5 RGB 64 GB,22999.0,"[5, 6400]","[2, 32]",3.594,Silver / Black,10.0,32.0
